,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,Prevalencia
174,2.0,0.06667,0.2,0.13333,0.0,4.0
175,2.0,0.15385,0.46154,0.07692,0.0,2.0
176,2.0,0.15385,0.23077,0.38462,0.23077,3.0
177,4.0,0.0,0.08696,0.0,0.69565,6.0
178,2.0,0.11111,0.11111,0.05556,0.61111,1.0
179,2.0,0.0,0.0,0.0,0.33333,1.0
180,2.0,0.08333,0.75,0.08333,1.0,4.0
181,2.0,0.0,0.0,0.0,0.0,3.0
182,2.0,0.14286,0.28571,0.07143,0.07143,4.0
183,2.0,0.22222,0.22222,0.44444,0.0,5.0
184,4.0,0.09091,0.72727,0.0,0.36364,2.0
185,2.0,0.0,0.75,0.0,0.5,2.0
186,2.0,0.0,0.05405,0.0,0.05405,3.0
187,5.0,0.0,0.07812,0.0,0.21875,3.0
188,2.0,0.09091,0.04545,0.09091,0.63636,4.0
189,2.0,0.0,0.0,0.0,0.0,6.0
190,2.0,0.0,0.0625,0.0,0.625,4.0
191,2.0,0.04,0.08,0.24,0.0,3.0
192,2.0,0.05714,0.11429,0.08571,0.14286,4.0
193,2.0,0.01493,0.20896,0.01493,0.10448,2.0
194,2.0,0.5,0.625,0.5,0.0,2.0
195,2.0,0.0,0.0,0.0,0.0,6.0
196,2.0,0.0,0.0,0.0,0.5,2.0
197,2.0,0.03704,0.09259,0.0,0.09259,5.0
198,2.0,0.0,0.5,0.0,0.0,6.0
199,2.0,0.0,0.28571,0.0,0.42857,3.0
200,2.0,0.03333,0.16667,0.0,0.06667,3.0
201,2.0,0.0,0.2,0.0,0.0,1.0
202,2.0,0.0,0.28571,0.0,0.07143,4.0
203,2.0,0.0,0.34831,0.0,0.1573,4.0
204,2.0,0.0,0.0,0.0,1.0,6.0
205,2.0,0.0,0.0,0.0,0.0,2.0
206,2.0,0.0,0.0,0.0,0.0,6.0
207,2.0,0.0,0.0,0.0,0.0,0.0
208,2.0,0.0,0.05882,0.0,0.94118,5.0
209,2.0,0.02609,0.32174,0.01739,0.0087,4.0
210,2.0,0.0,0.0,0.0,0.95833,3.0
