,MaterialTecho,Habitantes/Vivienda,Fuente_Combustible,Cocina_Exclusiva,Fuente_Agua,Ubicacion_Sanitario,Dormitorios/Vivienda,Cuartos/Vivienda,Tipo_Vivienda,Familias_Usando_Cocina,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,Ducha,Basura,MaterialPiso,MaterialPared,Tipo_Sanitarios,Cantidad_Sanitarios,Prevalencia
63,3.0,4.7,3.0,1.0,0.0,1.0,2.25,4.2,1.0,1.0,4.0,0.0,0.05,0.0,0.0,0.95,1.0,3.0,1.0,1.0,1.0,3.0
64,0.0,6.33333,3.0,1.0,0.0,-1.0,2.33333,2.66667,1.0,1.0,2.0,0.0,0.0,0.0,0.33333,0.66667,1.0,3.0,1.0,1.0,0.66667,5.0
65,3.0,4.85714,3.0,0.85714,0.0,1.0,2.42857,4.14286,1.0,1.07143,2.0,0.0,0.21429,0.14286,0.07143,0.78571,1.0,3.0,1.0,1.0,0.85714,5.0
66,3.0,4.2,2.0,0.6,0.0,1.0,2.4,3.8,1.0,1.0,4.0,0.0,0.0,0.2,0.0,0.8,1.0,3.0,2.0,1.0,0.8,7.0
67,0.0,4.5,3.0,1.0,0.0,1.0,2.16667,3.5,1.0,1.16667,2.0,0.16667,0.16667,0.0,0.0,0.33333,1.0,3.0,1.0,1.0,1.0,7.0
68,0.0,5.14815,2.0,0.97531,0.0,0.0,2.61728,2.62963,1.0,1.03704,2.0,0.01235,0.17284,0.02469,0.07407,0.96296,4.0,3.0,2.0,1.0,1.01235,7.0
69,0.0,4.7,2.0,1.0,0.0,0.0,2.1,3.5,1.0,1.1,4.0,0.0,0.2,0.0,0.1,1.0,1.0,3.0,2.0,0.0,1.0,6.0
70,0.0,5.0,2.0,0.88889,0.0,1.0,2.27778,3.88889,0.0,1.11111,2.0,0.0,0.0,0.0,0.16667,0.94444,1.0,3.0,1.0,0.0,1.0,5.0
71,0.0,4.25,2.0,0.875,0.0,0.0,2.5,4.5625,1.0,1.0,2.0,0.125,0.375,0.0625,0.5625,1.0,1.0,3.0,2.0,1.0,1.0,7.0
72,0.0,4.77778,3.0,0.94444,0.0,1.0,2.36111,3.47222,1.0,1.05556,2.0,0.0,0.25,0.0,0.11111,0.91667,1.0,3.0,2.0,1.0,1.0,6.0
73,2.0,3.875,2.0,1.0,0.0,1.0,1.825,2.95,1.0,1.0,2.0,0.025,0.425,0.0,0.075,0.975,1.0,3.0,2.0,1.0,1.0,4.0
74,0.0,4.125,2.0,1.0,0.0,1.0,2.375,3.625,1.0,1.0,2.0,0.0,0.375,0.0,0.0,0.75,1.0,3.0,1.0,1.0,1.0,6.0
75,3.0,4.6,3.0,1.0,0.0,1.0,1.4,3.4,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.6,1.0,7.0,1.0,1.0,0.8,9.0
76,0.0,6.5,3.0,1.0,0.0,1.0,3.83333,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0
77,0.0,6.0,3.0,1.0,0.0,1.0,2.66667,4.0,1.0,1.0,2.0,0.0,0.33333,0.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,5.0
78,0.0,4.75,3.0,0.8125,0.0,1.0,2.1875,3.875,1.0,1.0625,2.0,0.25,0.25,0.1875,0.0,0.75,1.0,3.0,1.0,1.0,0.9375,8.0
79,0.0,4.88889,3.0,1.0,0.0,1.0,2.33333,4.55556,1.0,1.11111,2.0,0.0,1.0,0.0,0.0,0.66667,1.0,3.0,2.0,1.0,1.0,3.0
80,3.0,4.59459,3.0,0.89189,0.0,1.0,2.21622,3.97297,1.0,1.0,2.0,0.0,0.21622,0.02703,0.05405,0.83784,1.0,3.0,1.0,1.0,0.97297,5.0
81,0.0,4.5,2.0,1.0,0.0,0.0,1.75,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0
82,3.0,5.79412,3.0,1.0,0.0,1.0,2.74286,4.88571,0.0,1.05714,2.0,0.0,0.0,0.0,0.71429,0.85714,2.0,7.0,1.0,0.0,0.8,4.0
83,3.0,5.125,3.0,0.875,0.0,-1.0,2.375,3.625,0.0,1.0,4.0,0.0,0.0,0.0,0.625,0.75,2.0,7.0,1.0,4.0,0.375,8.0
84,3.0,8.0,3.0,1.0,4.0,1.0,4.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,9.0
85,3.0,6.25,3.0,1.0,0.0,1.0,2.75,5.25,0.0,1.0,2.0,0.0,0.0,0.0,0.5,0.75,2.0,3.0,1.0,1.0,0.75,6.0
86,0.0,8.0,3.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,0.5,0.5,1.0,0.0,5.0,5.0,1.0,1.0,9.0
87,2.0,4.5,3.0,1.0,0.0,1.0,1.81818,4.18182,1.0,1.0,2.0,0.0,0.18182,0.0,0.0,0.95455,1.0,7.0,0.0,1.0,0.95455,6.0
88,0.0,5.0,3.0,1.0,0.0,1.0,2.45455,3.27273,1.0,1.0,2.0,0.0,0.09091,0.09091,0.09091,0.90909,1.0,3.0,2.0,1.0,1.0,5.0
89,3.0,6.0,3.0,1.0,0.0,1.0,3.16667,3.5,1.0,1.0,2.0,0.0,0.16667,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,9.0
90,3.0,4.28571,3.0,0.85714,0.0,1.0,2.08571,3.4,1.0,1.0,2.0,0.05714,0.2,0.08571,0.11429,0.82857,1.0,3.0,2.0,1.0,0.94286,3.0
91,0.0,5.0,3.0,1.0,0.0,1.0,2.5,3.0,1.0,1.0,2.0,0.0,0.25,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0
92,0.0,4.36364,3.0,1.0,0.0,0.0,2.27273,2.72727,1.0,1.0,2.0,0.09091,0.18182,0.27273,0.09091,1.0,1.0,3.0,2.0,1.0,1.09091,4.0
93,0.0,4.28571,3.0,1.0,0.0,1.0,1.71429,4.14286,1.0,1.0,2.0,0.0,0.28571,0.0,0.0,0.85714,1.0,7.0,0.0,1.0,0.85714,9.0
94,2.0,5.6,3.0,1.0,0.0,1.0,2.2,3.9,1.0,1.0,2.0,0.1,0.5,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,7.0
95,0.0,4.25,2.0,1.0,0.0,0.0,2.625,4.625,1.0,1.0,2.0,0.125,0.25,0.5,0.125,0.5,1.0,3.0,2.0,1.0,1.0,5.0
96,0.0,6.61538,2.0,1.0,0.0,1.0,2.92308,4.0,1.0,1.15385,2.0,0.0,0.0,0.0,0.0,0.92308,1.0,3.0,2.0,1.0,1.0,8.0
97,3.0,3.97727,2.0,0.88636,0.0,1.0,2.22727,4.18182,1.0,1.0,2.0,0.0,0.02273,0.02273,0.13636,0.95455,1.0,3.0,2.0,1.0,1.0,6.0
98,0.0,4.40909,2.0,1.0,0.0,0.0,2.63636,4.72727,1.0,1.0,2.0,0.0,0.0,0.0,0.86364,1.0,1.0,3.0,2.0,0.0,1.09091,4.0
99,2.0,5.2,4.0,1.0,0.0,1.0,2.8,3.4,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.8,1.0,7.0,0.0,1.0,0.8,9.0
100,3.0,5.34667,2.0,0.89474,0.0,1.0,2.36842,4.22368,1.0,1.05263,2.0,0.03947,0.11842,0.02632,0.09211,0.90789,1.0,3.0,2.0,1.0,1.02632,6.0
