,Habitantes/Vivienda,Uso_Recipiente_Para_Agua,Medidas_Contra_HP,Antesedentes_CG,Antesedentes_Ulceras,Antesedentes_Gastritis,Convivencia_infeccion,Comparten_Cubiero,Comparten_Cepillo,Dias_Ducha,Cepillado,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,LavadoAntesComer,LavadoPostSanitario,Etnia,Prevalencia
91,5.0,1.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,1.75,2.5,2.0,0.0,0.25,0.0,0.0,1.0,1.0,3.0,0.0
92,4.36364,1.0,0.63636,0.0,0.0,0.81818,0.09091,0.0,0.0,2.0,2.7,2.0,0.09091,0.18182,0.27273,0.09091,1.0,1.0,3.0,2.0
93,4.28571,0.14286,0.71429,0.0,0.0,0.28571,0.71429,0.0,0.0,2.0,2.57143,2.0,0.0,0.28571,0.0,0.0,1.0,1.0,3.0,4.0
94,5.6,0.4,0.0,0.0,0.0,0.5,0.0,0.0,0.1,2.0,2.55556,2.0,0.1,0.5,0.0,0.0,0.8,1.0,3.0,3.0
95,4.25,0.875,0.375,0.0,0.0,0.5,0.125,0.0,0.0,2.0,2.75,2.0,0.125,0.25,0.5,0.125,1.0,1.0,3.0,2.0
96,6.61538,1.0,0.07692,0.0,0.07692,0.46154,0.0,0.0,0.0,2.0,2.69231,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0
97,3.97727,0.52273,0.18182,0.0,0.02273,0.43182,0.0,0.04545,0.02273,2.0,2.37209,2.0,0.0,0.02273,0.02273,0.13636,0.81818,0.97727,0.0,3.0
98,4.40909,0.59091,0.31818,0.0,0.09091,0.36364,0.0,0.0,0.0,2.0,2.52381,2.0,0.0,0.0,0.0,0.86364,1.0,1.0,2.0,2.0
99,5.2,0.2,0.2,0.0,0.0,0.6,0.4,0.0,0.2,2.0,2.6,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0
100,5.34667,0.63158,0.25,0.05263,0.05263,0.52632,0.03947,0.10526,0.03947,1.98684,2.47368,2.0,0.03947,0.11842,0.02632,0.09211,0.90789,0.93421,3.0,3.0
101,5.0,1.0,0.0,0.0,0.0,0.33333,0.0,0.0,0.0,1.77778,2.55556,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0
102,6.44444,0.88889,0.11111,0.0,0.0,0.55556,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.22222,0.0,0.0,1.0,1.0,3.0,2.0
103,4.9,0.4,0.7,0.0,0.1,0.3,0.0,0.1,0.1,2.0,2.7,2.0,0.0,0.1,0.0,0.0,1.0,1.0,3.0,1.0
104,6.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.1,2.0,2.5,2.0,0.3,0.3,0.1,0.2,1.0,0.9,3.0,1.0
105,4.21053,0.36842,0.21053,0.0,0.0,0.52632,0.15789,0.0,0.0,2.0,2.63158,2.0,0.0,0.26316,0.05263,0.0,1.0,1.0,3.0,2.0
106,6.78571,1.0,0.07143,0.07143,0.07143,0.64286,0.07143,0.0,0.0,2.0,3.0,2.0,0.0,0.07143,0.0,0.0,1.0,0.92857,3.0,3.0
107,5.30769,0.80769,0.07692,0.05128,0.02564,0.23077,0.05128,0.02564,0.07692,1.97436,2.79487,2.0,0.41026,0.41026,0.55128,0.44872,0.98718,0.98718,3.0,2.0
108,4.94737,0.94737,0.05263,0.0,0.05263,0.57895,0.0,0.05263,0.05263,2.0,2.84211,2.0,0.0,0.0,0.0,0.05263,1.0,1.0,3.0,2.0
109,4.92857,0.64286,0.35714,0.0,0.03571,0.39286,0.03571,0.03571,0.0,2.0,2.92857,2.0,0.03571,0.57143,0.07143,0.14286,1.0,1.0,3.0,3.0
110,4.71429,0.85714,0.14286,0.0,0.0,0.28571,0.14286,0.0,0.0,2.0,2.85714,2.0,0.0,0.14286,0.0,0.14286,1.0,0.85714,3.0,2.0
111,5.28571,0.95349,0.06977,0.0,0.0,0.51163,0.09302,0.0,0.0,2.0,2.69767,2.0,0.02326,0.16279,0.02326,0.16279,1.0,0.93023,3.0,2.0
112,5.13636,0.81818,0.63636,0.09091,0.0,0.13636,0.0,0.04545,0.0,1.86364,2.61905,2.0,0.09091,0.27273,0.04545,0.0,0.86364,0.90909,3.0,2.0
113,4.78947,0.6,0.2,0.0,0.0,0.45,0.0,0.0,0.0,2.0,2.6,2.0,0.1,0.15,0.0,0.0,1.0,1.0,3.0,0.0
114,4.40741,0.88889,0.0,0.0,0.0,0.11111,0.03704,0.18519,0.0,2.0,2.77778,2.0,0.07407,0.14815,0.11111,0.33333,1.0,0.92593,3.0,3.0
115,4.91667,0.875,0.04167,0.0,0.0,0.25,0.04167,0.0,0.04167,2.0,2.70833,2.0,0.0,0.125,0.04167,0.125,0.875,0.95833,3.0,3.0
116,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,2.5,4.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0
117,4.33333,0.66667,0.0,0.0,0.0,0.33333,0.0,0.0,0.0,1.66667,2.66667,2.0,0.0,0.0,0.0,0.0,1.0,0.66667,0.0,2.0
118,5.125,0.83333,0.08333,0.0,0.04167,0.375,0.08333,0.375,0.04167,2.0,2.875,2.0,0.04167,0.33333,0.25,0.45833,1.0,1.0,3.0,1.0
119,3.5,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.5,3.0,2.0,0.5,0.5,0.0,0.0,1.0,0.5,3.0,4.0
120,3.95833,0.76389,0.04167,0.01389,0.01389,0.11111,0.125,0.01389,0.0,2.0,2.94444,2.0,0.0,0.55556,0.0,0.0,1.0,1.0,3.0,2.0
121,4.375,0.875,0.25,0.125,0.0,0.375,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.125,0.0,1.0,0.875,3.0,3.0
122,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0
123,3.7,0.63636,0.0,0.0,0.0,0.45455,0.09091,0.54545,0.0,2.0,2.90909,2.0,0.0,0.09091,0.0,0.36364,1.0,0.90909,3.0,0.0
124,5.5,1.0,0.0,0.0,0.08333,0.25,0.0,0.0,0.0,2.0,2.81818,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0
125,5.42857,0.57143,0.14286,0.0,0.0,0.14286,0.0,0.0,0.0,2.0,2.85714,5.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0
126,5.25,0.875,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.125,2.125,2.0,0.0,0.0,0.0,0.0,0.875,1.0,2.0,3.0
127,4.15385,0.46154,0.30769,0.07692,0.0,0.23077,0.0,0.07692,0.0,2.0,2.15385,2.0,0.0,0.07692,0.0,0.07692,1.0,1.0,3.0,2.0
128,5.88889,0.5,0.0,0.0,0.11111,0.05556,0.0,0.05556,0.0,1.83333,2.41176,2.0,0.0,0.27778,0.05556,0.38889,0.94444,0.83333,2.0,3.0
129,3.57143,0.81429,0.05714,0.0,0.00714,0.2,0.05714,0.0,0.00714,1.98571,2.97857,2.0,0.00714,0.53571,0.01429,0.15,1.0,0.99286,3.0,3.0
