,Uso_Recipiente_Para_Agua,Medidas_Contra_HP,Antesedentes_CG,Antesedentes_Ulceras,Antesedentes_Gastritis,Convivencia_infeccion,Comparten_Cubiero,Comparten_Cepillo,Dias_Ducha,Cepillado,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,LavadoAntesComer,LavadoPostSanitario,Etnia,Prevalencia
69,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2.0,2.1,4.0,0.0,0.2,0.0,0.1,1.0,1.0,2.0,3.0
70,0.83333,0.22222,0.0,0.0,0.11111,0.0,0.16667,0.0,2.0,2.55556,2.0,0.0,0.0,0.0,0.16667,0.94444,1.0,2.0,2.0
71,0.9375,0.0,0.0,0.0,0.5,0.0,0.0625,0.0,2.0,2.75,2.0,0.125,0.375,0.0625,0.5625,1.0,1.0,3.0,3.0
72,0.97222,0.05556,0.08333,0.0,0.61111,0.02778,0.0,0.0,2.0,2.74286,2.0,0.0,0.25,0.0,0.11111,1.0,1.0,3.0,3.0
73,0.7,0.025,0.0,0.025,0.275,0.0,0.025,0.05,2.0,2.675,2.0,0.025,0.425,0.0,0.075,1.0,1.0,0.0,2.0
74,1.0,0.0,0.0,0.0,0.5,0.125,0.0,0.0,2.0,3.0,2.0,0.0,0.375,0.0,0.0,1.0,1.0,3.0,3.0
75,1.0,0.8,0.2,0.0,0.6,0.0,0.0,0.0,1.8,2.2,2.0,0.0,0.0,0.0,0.0,1.0,0.8,3.0,4.0
76,0.83333,0.16667,0.0,0.0,0.33333,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0
77,1.0,0.33333,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.33333,0.0,0.0,1.0,1.0,3.0,2.0
78,0.75,0.25,0.1875,0.0,0.75,0.0,0.0625,0.0,1.9375,2.5,2.0,0.25,0.25,0.1875,0.0,0.875,0.9375,3.0,4.0
79,1.0,0.88889,0.0,0.0,0.88889,0.0,0.0,0.0,1.88889,2.66667,2.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0
80,0.78378,0.48649,0.0,0.0,0.56757,0.02703,0.08108,0.02703,1.94595,2.75676,2.0,0.0,0.21622,0.02703,0.05405,0.97297,0.97297,3.0,2.0
81,1.0,0.25,0.0,0.0,1.0,0.0,0.0,0.25,2.0,2.75,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0
82,0.68571,0.31429,0.0,0.02857,0.4,0.0,0.05714,0.0,1.97143,2.02857,2.0,0.0,0.0,0.0,0.71429,0.94286,0.94286,2.0,2.0
83,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.75,2.25,4.0,0.0,0.0,0.0,0.625,0.5,0.625,2.0,4.0
84,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0
85,0.75,0.75,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.5,1.0,1.0,2.0,3.0
86,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,2.0,0.0,0.0,0.5,0.5,1.0,1.0,3.0,4.0
87,0.59091,0.04545,0.0,0.0,0.36364,0.0,0.0,0.0,1.77273,2.09091,2.0,0.0,0.18182,0.0,0.0,0.81818,1.0,3.0,3.0
88,1.0,0.72727,0.09091,0.09091,0.45455,0.0,0.0,0.0,1.81818,2.36364,2.0,0.0,0.09091,0.09091,0.09091,1.0,1.0,3.0,2.0
89,1.0,1.0,0.0,0.0,0.83333,0.0,0.0,0.16667,1.83333,2.4,2.0,0.0,0.16667,0.0,0.0,1.0,1.0,3.0,4.0
90,0.91429,0.31429,0.11429,0.0,0.54286,0.05714,0.11429,0.08571,1.97143,2.71429,2.0,0.05714,0.2,0.08571,0.11429,0.82857,0.97143,3.0,1.0
91,1.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,1.75,2.5,2.0,0.0,0.25,0.0,0.0,1.0,1.0,3.0,0.0
92,1.0,0.63636,0.0,0.0,0.81818,0.09091,0.0,0.0,2.0,2.7,2.0,0.09091,0.18182,0.27273,0.09091,1.0,1.0,3.0,2.0
93,0.14286,0.71429,0.0,0.0,0.28571,0.71429,0.0,0.0,2.0,2.57143,2.0,0.0,0.28571,0.0,0.0,1.0,1.0,3.0,4.0
94,0.4,0.0,0.0,0.0,0.5,0.0,0.0,0.1,2.0,2.55556,2.0,0.1,0.5,0.0,0.0,0.8,1.0,3.0,3.0
95,0.875,0.375,0.0,0.0,0.5,0.125,0.0,0.0,2.0,2.75,2.0,0.125,0.25,0.5,0.125,1.0,1.0,3.0,2.0
96,1.0,0.07692,0.0,0.07692,0.46154,0.0,0.0,0.0,2.0,2.69231,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0
97,0.52273,0.18182,0.0,0.02273,0.43182,0.0,0.04545,0.02273,2.0,2.37209,2.0,0.0,0.02273,0.02273,0.13636,0.81818,0.97727,0.0,3.0
98,0.59091,0.31818,0.0,0.09091,0.36364,0.0,0.0,0.0,2.0,2.52381,2.0,0.0,0.0,0.0,0.86364,1.0,1.0,2.0,2.0
99,0.2,0.2,0.0,0.0,0.6,0.4,0.0,0.2,2.0,2.6,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0
100,0.63158,0.25,0.05263,0.05263,0.52632,0.03947,0.10526,0.03947,1.98684,2.47368,2.0,0.03947,0.11842,0.02632,0.09211,0.90789,0.93421,3.0,3.0
101,1.0,0.0,0.0,0.0,0.33333,0.0,0.0,0.0,1.77778,2.55556,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0
102,0.88889,0.11111,0.0,0.0,0.55556,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.22222,0.0,0.0,1.0,1.0,3.0,2.0
103,0.4,0.7,0.0,0.1,0.3,0.0,0.1,0.1,2.0,2.7,2.0,0.0,0.1,0.0,0.0,1.0,1.0,3.0,1.0
104,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.1,2.0,2.5,2.0,0.3,0.3,0.1,0.2,1.0,0.9,3.0,1.0
105,0.36842,0.21053,0.0,0.0,0.52632,0.15789,0.0,0.0,2.0,2.63158,2.0,0.0,0.26316,0.05263,0.0,1.0,1.0,3.0,2.0
106,1.0,0.07143,0.07143,0.07143,0.64286,0.07143,0.0,0.0,2.0,3.0,2.0,0.0,0.07143,0.0,0.0,1.0,0.92857,3.0,3.0
107,0.80769,0.07692,0.05128,0.02564,0.23077,0.05128,0.02564,0.07692,1.97436,2.79487,2.0,0.41026,0.41026,0.55128,0.44872,0.98718,0.98718,3.0,2.0
