,Habitantes/Vivienda,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,Prevalencia
166,5.0,2.0,0.0,0.25,0.0,0.25,9.0
167,4.0,2.0,0.0,0.0,0.0,0.0,9.0
168,4.95833,2.0,0.0,0.04167,0.04167,0.0,8.0
169,5.0,2.0,0.0,0.0,0.0,0.0,4.0
170,3.88889,2.0,0.0,0.0,0.0,0.0,5.0
171,5.4,2.0,0.0,0.26667,0.0,0.66667,4.0
172,4.4,2.0,0.0,0.4,0.0,0.4,4.0
173,7.0,2.0,0.0,0.0,0.0,0.0,3.0
174,7.06667,2.0,0.06667,0.2,0.13333,0.0,5.0
175,4.46154,2.0,0.15385,0.46154,0.07692,0.0,4.0
176,4.53846,2.0,0.15385,0.23077,0.38462,0.23077,5.0
177,6.26087,4.0,0.0,0.08696,0.0,0.69565,9.0
178,4.5,2.0,0.11111,0.11111,0.05556,0.61111,2.0
179,3.66667,2.0,0.0,0.0,0.0,0.33333,1.0
180,6.0,2.0,0.08333,0.75,0.08333,1.0,6.0
181,5.0,2.0,0.0,0.0,0.0,0.0,4.0
182,4.5,2.0,0.14286,0.28571,0.07143,0.07143,6.0
183,5.33333,2.0,0.22222,0.22222,0.44444,0.0,7.0
184,5.27273,4.0,0.09091,0.72727,0.0,0.36364,3.0
185,4.0,2.0,0.0,0.75,0.0,0.5,3.0
186,6.45946,2.0,0.0,0.05405,0.0,0.05405,5.0
187,5.20312,5.0,0.0,0.07812,0.0,0.21875,5.0
188,5.22727,2.0,0.09091,0.04545,0.09091,0.63636,6.0
189,7.5,2.0,0.0,0.0,0.0,0.0,9.0
190,4.5,2.0,0.0,0.0625,0.0,0.625,6.0
191,4.0,2.0,0.04,0.08,0.24,0.0,5.0
192,5.28571,2.0,0.05714,0.11429,0.08571,0.14286,6.0
193,5.26866,2.0,0.01493,0.20896,0.01493,0.10448,4.0
194,4.5,2.0,0.5,0.625,0.5,0.0,3.0
195,4.0,2.0,0.0,0.0,0.0,0.0,9.0
196,4.0,2.0,0.0,0.0,0.0,0.5,3.0
197,5.09259,2.0,0.03704,0.09259,0.0,0.09259,7.0
198,5.75,2.0,0.0,0.5,0.0,0.0,9.0
199,5.14286,2.0,0.0,0.28571,0.0,0.42857,4.0
200,5.06667,2.0,0.03333,0.16667,0.0,0.06667,4.0
201,7.2,2.0,0.0,0.2,0.0,0.0,2.0
202,4.42857,2.0,0.0,0.28571,0.0,0.07143,6.0
203,4.33708,2.0,0.0,0.34831,0.0,0.1573,6.0
204,3.0,2.0,0.0,0.0,0.0,1.0,9.0
205,5.07692,2.0,0.0,0.0,0.0,0.0,4.0
206,5.0,2.0,0.0,0.0,0.0,0.0,9.0
207,4.2,2.0,0.0,0.0,0.0,0.0,0.0
208,4.47059,2.0,0.0,0.05882,0.0,0.94118,7.0
209,3.97391,2.0,0.02609,0.32174,0.01739,0.0087,6.0
210,4.875,2.0,0.0,0.0,0.0,0.95833,5.0
211,4.875,2.0,0.0,0.0,0.0,0.0,6.0
212,3.5,2.0,0.0,0.0,0.0,1.0,3.0
213,3.75,2.0,0.0,0.6,0.2,0.6,7.0
214,3.33333,2.0,0.0,0.0,0.0,1.0,3.0
215,5.05,2.0,0.0,0.25,0.0,0.0,6.0
216,4.33333,2.0,0.0,0.33333,0.0,0.0,9.0
217,4.42857,2.0,0.0,0.0,0.0,0.0,8.0
218,3.0,2.0,0.0,0.33333,0.0,0.0,5.0
219,4.07143,2.0,0.0,0.28571,0.0,0.35714,6.0
220,3.84615,2.0,0.0,0.30769,0.0,0.0,4.0
221,3.5,2.0,0.0,1.0,0.0,0.0,9.0
222,4.92857,4.0,0.0,0.07143,0.07143,0.57143,2.0
223,4.71429,2.0,0.0,0.0,0.0,0.02857,3.0
224,4.61765,2.0,0.05882,0.08824,0.0,0.29412,8.0
225,6.0,4.0,0.0,0.0,0.0,0.0,9.0
226,4.0,2.0,0.0,0.0,0.0,0.0,9.0
227,4.75,2.0,0.05556,0.05556,0.11111,0.02778,4.0
228,4.66667,2.0,0.0,0.86667,0.2,0.73333,8.0
229,4.83333,2.0,0.0,0.0,0.0,0.0,5.0
230,4.5,2.0,0.0,0.125,0.0,0.0,3.0
231,4.6087,2.0,0.0,0.17391,0.0,0.0,7.0
232,4.77778,2.0,0.0,0.0,0.0,0.0,4.0
233,5.35714,2.0,0.0,0.78571,0.0,0.0,3.0
234,4.66667,2.0,0.0,0.0,0.0,0.0,9.0
235,5.0,2.0,0.0,0.0,0.0,0.0,9.0
236,5.0,2.0,0.0,0.0,0.0,0.0,9.0
237,4.91667,2.0,0.0,0.08333,0.16667,0.0,9.0
238,4.91667,2.0,0.0,0.0,0.0,0.125,5.0
239,4.19231,2.0,0.0,0.53846,0.0,0.15385,3.0
240,4.75,2.0,0.0,0.25,0.0,0.25,6.0
241,5.0,2.0,0.0,0.0,0.0,0.0,9.0
242,5.2,2.0,0.0,0.4,0.0,0.0,9.0
243,3.66667,2.0,0.0,1.0,0.0,0.0,5.0
244,4.19048,2.0,0.0,0.09524,0.0,0.04762,5.0
245,4.15385,2.0,0.0,0.0,0.0,0.0,9.0
246,4.92308,2.0,0.23077,0.76923,0.15385,0.76923,7.0
247,3.91667,2.0,0.08333,0.66667,0.0,0.08333,2.0
248,4.34615,2.0,0.0,0.03846,0.0,0.26923,4.0
249,5.0,2.0,0.0,0.0,0.0,0.0,9.0
250,4.8,2.0,0.0,0.4,0.0,0.0,7.0
251,4.0,2.0,0.0,0.0,0.0,1.0,9.0
252,5.44444,2.0,0.22222,0.0,0.0,0.11111,7.0
253,6.11111,2.0,0.0,0.0,0.0,0.05556,8.0
254,5.76,2.0,0.0,0.04,0.04,0.0,7.0
255,5.26027,4.0,0.0137,0.0274,0.0,0.83562,6.0
256,4.16667,2.0,0.0,0.0,0.0,0.0,7.0
257,3.4,2.0,0.0,0.0,0.0,0.0,7.0
258,5.1,2.0,0.0,0.0,0.1,0.0,4.0
259,3.5,2.0,0.0,0.0,0.0,0.0,6.0
260,5.0,2.0,0.09091,0.18182,0.0,0.63636,4.0
261,5.4,2.0,0.0,0.0,0.0,0.0,8.0
262,4.0,4.0,0.0,0.0,0.54545,0.18182,4.0
263,3.76471,2.0,0.0,0.0,0.0,0.0,2.0
264,4.8,2.0,0.2,0.2,0.1,0.6,3.0
265,4.42623,2.0,0.01639,0.18033,0.04918,0.08197,2.0
266,5.14286,2.0,0.0,0.0,0.0,0.0,6.0
267,4.53846,2.0,0.0,0.15385,0.0,0.07692,5.0
268,5.47826,2.0,0.04348,0.13043,0.04348,0.13043,9.0
269,4.0,2.0,0.25,0.0,0.0,0.0,3.0
270,4.25,2.0,0.0,0.0,0.0,0.0,9.0
271,4.66667,4.0,0.0,0.0,0.0,0.0,1.0
272,5.32,2.0,0.08,0.0,0.04,0.16,4.0
273,5.04762,2.0,0.14286,0.09524,0.0,0.09524,7.0
274,4.83333,2.0,0.0,0.0,0.0,0.0,9.0
275,4.62162,4.0,0.0,0.02703,0.02703,0.59459,5.0
276,4.5,2.0,0.03846,0.5,0.03846,0.26923,8.0
277,3.0,2.0,0.0,0.0,0.0,0.0,3.0
278,5.45652,2.0,0.1087,0.19565,0.26087,0.26087,1.0
279,4.75,2.0,0.0,0.05,0.0,0.35,3.0
280,6.0,2.0,0.0,0.0,0.0,0.125,6.0
281,5.0,5.0,0.0,0.2,0.0,0.2,9.0
282,4.23077,2.0,0.0,0.46154,0.0,0.07692,8.0
283,5.0,2.0,0.0,0.57143,0.14286,0.42857,6.0
284,5.25,2.0,0.0,0.25,0.0,0.75,9.0
285,4.67742,2.0,0.0,0.29032,0.0,0.09677,3.0
286,5.5,2.0,0.0,0.5,0.0,0.75,6.0
287,4.42857,5.0,0.14286,0.0,0.14286,0.0,6.0
288,5.69231,2.0,0.0,0.07692,0.0,0.0,6.0
289,4.25,2.0,0.0,0.0,0.0,0.0,3.0
290,6.5,2.0,0.0,0.0,0.0,0.0,9.0
291,4.0,2.0,0.0,0.0,0.0,0.0,9.0
292,6.5,2.0,0.0,0.0,0.0,0.0,3.0
293,4.72973,2.0,0.05405,0.24324,0.16216,0.02703,6.0
294,5.22642,2.0,0.03774,0.41509,0.0,0.20755,7.0
295,4.1875,2.0,0.0,0.0,0.0,0.0,4.0
296,3.0,2.0,0.0,0.0,0.0,0.0,9.0
297,4.68182,2.0,0.0,0.0,0.0,0.0,9.0
298,4.54839,2.0,0.03226,0.70968,0.03226,0.0,5.0
