,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,Prevalencia
127,0.0,0.07692,0.0,0.07692,1.0
128,0.0,0.27778,0.05556,0.38889,2.0
129,0.00714,0.53571,0.01429,0.15,1.0
130,0.0,0.0,0.0,0.7,0.0
131,0.0,0.0,0.0,0.0,2.0
132,0.125,0.125,0.0,0.0,2.0
133,0.0,1.0,0.0,0.0,2.0
134,0.0,0.42857,0.14286,0.07143,1.0
135,0.0,0.25,0.0,0.0,2.0
136,0.0,0.0,0.0,0.25,2.0
137,0.0,0.25,0.08333,0.0,2.0
138,0.07143,0.25,0.03571,0.10714,1.0
139,0.0,0.0,0.0,0.0,1.0
140,0.0,0.33333,0.0,0.33333,2.0
141,0.02532,0.29114,0.0,0.16456,1.0
142,0.0,0.0303,0.06061,0.66667,1.0
143,0.0,0.06667,0.0,0.66667,1.0
144,0.0,0.05405,0.0,0.35135,2.0
145,0.0,0.0,0.0,1.0,1.0
146,0.0,0.0,0.0,0.0,2.0
147,0.0,0.09091,0.18182,0.0,1.0
148,0.07692,0.07692,0.0,0.15385,1.0
149,0.0,0.0,1.0,0.0,2.0
150,0.0,0.33333,0.08333,0.0,1.0
151,0.0,0.0,0.0,0.0,1.0
152,0.04545,0.22727,0.09091,0.18182,1.0
153,0.0,0.07143,0.07143,0.07143,1.0
154,0.0,0.0,0.0,0.0,2.0
155,0.01449,0.05797,0.02899,0.2029,0.0
156,0.0,0.33333,0.0,0.33333,1.0
157,0.0,0.0,0.0,0.0,0.0
158,0.1,0.5,0.1,0.25,2.0
159,0.0,0.24,0.0,0.24,1.0
160,0.03448,0.13793,0.06897,0.03448,1.0
161,0.14815,0.40741,0.07407,0.25926,1.0
162,0.0,1.0,0.0,0.0,2.0
163,0.0,0.52381,0.04762,0.09524,2.0
164,0.0625,0.375,0.0625,0.0,1.0
165,0.0,0.0,0.0,0.0,1.0
166,0.0,0.25,0.0,0.25,2.0
167,0.0,0.0,0.0,0.0,2.0
168,0.0,0.04167,0.04167,0.0,2.0
169,0.0,0.0,0.0,0.0,1.0
170,0.0,0.0,0.0,0.0,1.0
171,0.0,0.26667,0.0,0.66667,1.0
172,0.0,0.4,0.0,0.4,1.0
173,0.0,0.0,0.0,0.0,1.0
174,0.06667,0.2,0.13333,0.0,1.0
175,0.15385,0.46154,0.07692,0.0,1.0
176,0.15385,0.23077,0.38462,0.23077,1.0
177,0.0,0.08696,0.0,0.69565,2.0
178,0.11111,0.11111,0.05556,0.61111,0.0
179,0.0,0.0,0.0,0.33333,0.0
180,0.08333,0.75,0.08333,1.0,2.0
181,0.0,0.0,0.0,0.0,1.0
182,0.14286,0.28571,0.07143,0.07143,1.0
183,0.22222,0.22222,0.44444,0.0,2.0
184,0.09091,0.72727,0.0,0.36364,0.0
185,0.0,0.75,0.0,0.5,1.0
186,0.0,0.05405,0.0,0.05405,1.0
187,0.0,0.07812,0.0,0.21875,1.0
188,0.09091,0.04545,0.09091,0.63636,1.0
189,0.0,0.0,0.0,0.0,2.0
190,0.0,0.0625,0.0,0.625,1.0
191,0.04,0.08,0.24,0.0,1.0
